datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl
12/20/2021 11:00,46681.24,47537.57,45558.85,46914.16,35848.50609,0,,,,,2.894398515,0,-1,-1,-1,0,89,75,37.78199912,36.94730479,0
12/21/2021 11:00,46914.17,49328.96,46630,48889.88,37713.92924,0,,,,45456,2.874559518,0,-1,-1,-1,0,87,35.5,44.49395024,36.94730479,0
12/22/2021 11:00,48887.59,49576.13,48421.87,48588.16,27004.2022,0,,,,,2.864813882,0,-1,-1,-1,0,87,27.5,43.71831149,37.78199912,0
12/23/2021 11:00,48588.17,51375,47920.42,50838.81,35192.54046,0,,,,,2.850035952,0,-1,-1,-1,0,86.5,16.5,50.6317599,43.71831149,0
12/24/2021 11:00,50838.82,51810,50384.43,50820,31684.81208,0,,,,,2.869210447,0,-1,-1,-1,0,87,16.5,50.57584388,43.71831149,0
12/25/2021 11:00,50819.99,51156.23,50142.32,50399.66,19135.51613,0,,45456,,,2.838058136,0,-1,-1,-1,0,86.5,21,49.26647699,49.26647699,0
12/26/2021 11:00,50399.67,51280,49412,50775.49,22569.88914,0,,,,,2.839630885,0,-1,-1,-1,0,79,33.5,50.5004201,49.26647699,0
12/27/2021 11:00,50775.48,52088,50449,50701.44,28779.58212,0,,,,,2.783336273,0,-1,-1,-1,0,80,32,50.24113482,49.26647699,0
12/28/2021 11:00,50701.44,50704.05,47313.01,47543.74,45853.33924,0,,,,,2.774539292,0,-1,-1,-1,0,79.5,84.5,40.65528957,40.65528957,0
12/29/2021 11:00,47543.74,48139.08,46096.99,46464.66,39498.87,0,,,,,2.796732642,0,-1,-1,-1,0,85,91,37.98791567,37.98791567,0
12/30/2021 11:00,46464.66,47900,45900,47120.87,30352.29569,0,,,,,2.78416216,0,-1,-1,-1,0,88,85.5,40.54265298,37.98791567,0
12/31/2021 11:00,47120.88,48548.26,45678,46216.93,34936.46964,0,,,,,2.742350971,0,-1,-1,-1,0,87.5,92,38.20757778,37.98791567,0
01/01/2022 11:00,46216.93,47954.63,46208.37,47722.65,19604.46325,0,,,52088,,2.732776898,0,-1,-1,-1,0,78.5,81.5,43.99402948,38.20757778,0
01/02/2022 11:00,47722.66,47990,46654,47286.18,18340.4604,0,,,,,2.744472769,0,-1,-1,-1,0,84.5,53.5,42.74448404,38.20757778,0
01/03/2022 11:00,47286.18,47570,45696,46446.1,27662.0771,0,,,,,2.726688388,0,-1,-1,-1,0,85,50.5,40.36794018,40.36794018,0
01/04/2022 11:00,46446.1,47557.54,45500,45832.01,35491.4136,0,,,,,2.732233035,0,-1,-1,-1,0,92,67.5,38.67518476,38.67518476,0
01/05/2022 11:00,45832.01,47070,42500,43451.13,51784.11857,0,,,,,2.709007208,0,-1,-1,-1,0,85,80,32.91268294,32.91268294,0
01/06/2022 11:00,43451.14,43816,42430.58,43082.31,38880.37305,0,52088,,,,2.730289381,0,-1,-1,-1,0,89,93,32.11442998,32.11442998,0
01/07/2022 11:00,43082.3,43145.83,40610,41566.48,54836.50818,0,,,,,2.732892707,0,-1,-1,-1,0,96.5,96.5,29.00118231,29.00118231,0
01/08/2022 11:00,41566.48,42300,40501,41679.74,32952.73111,0,,,,,2.694428614,0,-1,-1,-1,0,98,94.5,29.55072411,29.00118231,0
01/09/2022 11:00,41679.74,42786.7,41200.02,41864.62,22724.39426,0,,,,,2.681544561,0,-1,-1,-1,0,96.5,92,30.49642718,29.00118231,0
01/10/2022 11:00,41864.62,42248.5,39650,41822.49,50729.17019,0,,,,,2.665790634,0,-1,-1,-1,0,97.5,72.5,30.39629237,29.55072411,0
01/11/2022 11:00,41822.49,43100,41268.93,42729.29,37296.43729,0,,,,,2.651669747,0,-1,-1,-1,0,95,57,35.3191427,30.39629237,0
01/12/2022 11:00,42729.29,44322,42450,43902.66,33943.2928,0,,,,,2.618102761,0,-1,-1,-1,0,85,26,41.12204341,30.39629237,0
01/13/2022 11:00,43902.65,44500,42311.22,42560.11,34910.87762,0,,,,,2.6207643,0,-1,-1,-1,0,76,39.5,37.02861659,35.3191427,0
01/14/2022 11:00,42558.35,43448.78,41725.95,43059.96,32640.88292,0,,,,39650,2.598625368,0,-1,-1,-1,0,75.5,34,39.44548382,37.02861659,0
01/15/2022 11:00,43059.96,43800,42555,43084.29,21936.05616,0,,,,,2.601537305,0,-1,-1,-1,0,77.5,33.5,39.56706611,37.02861659,0
01/16/2022 11:00,43084.29,43475,42581.79,43071.66,20602.35271,0,,,,,2.581282863,0,-1,-1,-1,0,78,45.5,39.52270358,39.44548382,0
01/17/2022 11:00,43071.66,43176.18,41540.42,42201.62,27562.08613,0,,,,,2.569361931,0,-1,-1,-1,0,80,73.5,36.48776226,36.48776226,0
01/18/2022 11:00,42201.63,42691,41250,42352.12,29324.08257,0,,39650,44500,,2.55748567,0,-1,-1,-1,0,67.5,52.5,37.38348685,36.48776226,0
01/19/2022 11:00,42352.12,42559.13,41138.56,41660.01,31685.72159,0,,,,,2.5550625,0,-1,-1,-1,0,69.5,70,34.94287338,34.94287338,0
01/20/2022 11:00,41660,43505,40553.31,40680.91,42330.33953,0,,,,,2.550172287,0,-1,-1,-1,0,83,80,31.78180185,31.78180185,0
01/21/2022 11:00,40680.92,41100,35440.45,36445.31,88860.892,0,,,,,2.553019478,0,-1,-1,-1,0,96,99.5,22.35868558,22.35868558,0
01/22/2022 11:00,36445.31,36835.22,34008,35071.42,90471.33896,0,,,,,2.582458176,0,-1,-1,-1,0,92.5,100,20.26030736,20.26030736,0
01/23/2022 11:00,35071.42,36499,34601.01,36244.55,44279.52354,0,,,,,2.593442956,0,-1,-1,-1,0,93,98.5,26.595221,20.26030736,0
01/24/2022 11:00,36244.55,37550,32917.17,36660.35,91904.75321,0,,,,,2.604938577,0,-1,-1,-1,0,93,96,28.75564806,20.26030736,0
01/25/2022 11:00,36660.35,37545.14,35701,36958.32,49232.40183,0,,,,,2.596109517,0,-1,-1,-1,0,87.5,91.5,30.33793184,26.595221,0
