high_by_point_n,low_by_point_n,high_by_point_n_on_trend,low_by_point_n_on_trend,high_by_point_m,low_by_point_m,high_by_point_m_on_trend,low_by_point_m_on_trend,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count
4,4,4,4,4,4,4,4,3.37,293.86,5.25,56
4,4,4,5,4,4,4,5,3.37,293.86,5.25,56
4,4,4,6,4,4,4,6,4.37,321.25,6.3,51
4,4,4,7,4,4,4,7,4.37,321.25,6.3,51
4,4,4,8,4,4,4,8,4.37,321.25,6.3,51
4,4,4,9,4,4,4,9,4.37,321.25,6.3,51
4,4,4,10,4,4,4,10,5.51,343.53,7.47,46
4,4,5,4,4,4,5,4,3.64,299.25,5.75,52
4,4,5,5,4,4,5,5,3.64,299.25,5.75,52
4,4,5,6,4,4,5,6,4.89,329.18,7.0,47
4,4,5,7,4,4,5,7,4.89,329.18,7.0,47
4,4,5,8,4,4,5,8,4.89,329.18,7.0,47
4,4,5,9,4,4,5,9,4.89,329.18,7.0,47
4,4,5,10,4,4,5,10,6.38,351.46,8.37,42
4,4,6,4,4,4,6,4,3.37,274.82,5.97,46
4,4,6,5,4,4,6,5,3.37,274.82,5.97,46
4,4,6,6,4,4,6,6,4.5,304.74,7.43,41
4,4,6,7,4,4,6,7,4.5,304.74,7.43,41
4,4,6,8,4,4,6,8,4.5,304.74,7.43,41
4,4,6,9,4,4,6,9,4.5,304.74,7.43,41
4,4,6,10,4,4,6,10,5.82,327.03,9.08,36
4,4,7,4,4,4,7,4,3.45,277.6,6.17,45
4,4,7,5,4,4,7,5,3.45,277.6,6.17,45
4,4,7,6,4,4,7,6,4.65,307.52,7.69,40
4,4,7,7,4,4,7,7,4.65,307.52,7.69,40
4,4,7,8,4,4,7,8,4.65,307.52,7.69,40
4,4,7,9,4,4,7,9,4.65,307.52,7.69,40
4,4,7,10,4,4,7,10,6.06,329.81,9.42,35
4,4,8,4,4,4,8,4,3.33,264.25,6.01,44
4,4,8,5,4,4,8,5,3.33,264.25,6.01,44
4,4,8,6,4,4,8,6,4.49,294.17,7.54,39
4,4,8,7,4,4,8,7,4.49,294.17,7.54,39
4,4,8,8,4,4,8,8,4.49,294.17,7.54,39
4,4,8,9,4,4,8,9,4.49,294.17,7.54,39
4,4,8,10,4,4,8,10,5.86,316.46,9.31,34
4,4,9,4,4,4,9,4,3.33,264.25,6.01,44
4,4,9,5,4,4,9,5,3.33,264.25,6.01,44
4,4,9,6,4,4,9,6,4.14,264.94,6.97,38
4,4,9,7,4,4,9,7,4.14,264.94,6.97,38
4,4,9,8,4,4,9,8,4.14,264.94,6.97,38
4,4,9,9,4,4,9,9,4.14,264.94,6.97,38
4,4,9,10,4,4,9,10,5.41,287.22,8.7,33
4,4,10,4,4,4,10,4,3.49,269.41,6.27,43
4,4,10,5,4,4,10,5,3.49,269.41,6.27,43
4,4,10,6,4,4,10,6,4.41,270.1,7.3,37
