high_by_point_n,low_by_point_n,high_by_point_n_on_trend,low_by_point_n_on_trend,high_by_point_m,low_by_point_m,high_by_point_m_on_trend,low_by_point_m_on_trend,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count
4,4,4,4,4,4,4,4,2.29,407.35,4.43,92
4,4,4,5,4,4,4,5,1.96,316.3,3.64,87
4,4,4,6,4,4,4,6,2.14,373.7,4.2,89
4,4,4,7,4,4,4,7,2.12,362.08,4.11,88
4,4,4,8,4,4,4,8,2.17,365.83,4.3,85
4,4,4,9,4,4,4,9,2.17,365.83,4.3,85
4,4,4,10,4,4,4,10,2.17,365.83,4.3,85
4,4,5,4,4,4,5,4,2.39,415.63,4.72,88
4,4,5,5,4,4,5,5,2.04,324.59,3.91,83
4,4,5,6,4,4,5,6,2.15,371.82,4.27,87
4,4,5,7,4,4,5,7,2.13,360.21,4.19,86
4,4,5,8,4,4,5,8,2.18,363.96,4.39,83
4,4,5,9,4,4,5,9,2.18,363.96,4.39,83
4,4,5,10,4,4,5,10,2.18,363.96,4.39,83
4,4,6,4,4,4,6,4,2.39,415.63,4.72,88
4,4,6,5,4,4,6,5,2.04,324.59,3.91,83
4,4,6,6,4,4,6,6,2.15,371.82,4.27,87
4,4,6,7,4,4,6,7,2.13,360.21,4.19,86
4,4,6,8,4,4,6,8,2.18,363.96,4.39,83
4,4,6,9,4,4,6,9,2.18,363.96,4.39,83
4,4,6,10,4,4,6,10,2.18,363.96,4.39,83
4,4,7,4,4,4,7,4,2.45,423.23,4.86,87
4,4,7,5,4,4,7,5,2.09,332.18,4.05,82
4,4,7,6,4,4,7,6,2.2,379.42,4.41,86
4,4,7,7,4,4,7,7,2.18,367.8,4.33,85
4,4,7,8,4,4,7,8,2.24,371.55,4.53,82
4,4,7,9,4,4,7,9,2.24,371.55,4.53,82
4,4,7,10,4,4,7,10,2.24,371.55,4.53,82
4,4,8,4,4,4,8,4,2.45,423.23,4.86,87
4,4,8,5,4,4,8,5,2.0,306.04,3.78,81
4,4,8,6,4,4,8,6,2.2,379.42,4.41,86
4,4,8,7,4,4,8,7,2.18,367.8,4.33,85
4,4,8,8,4,4,8,8,2.24,371.55,4.53,82
4,4,8,9,4,4,8,9,2.24,371.55,4.53,82
4,4,8,10,4,4,8,10,2.24,371.55,4.53,82
4,4,9,4,4,4,9,4,2.45,423.23,4.86,87
4,4,9,5,4,4,9,5,2.0,306.04,3.78,81
4,4,9,6,4,4,9,6,2.2,379.42,4.41,86
4,4,9,7,4,4,9,7,2.18,367.8,4.33,85
4,4,9,8,4,4,9,8,2.24,371.55,4.53,82
4,4,9,9,4,4,9,9,2.24,371.55,4.53,82
4,4,9,10,4,4,9,10,2.24,371.55,4.53,82
4,4,10,4,4,4,10,4,2.48,426.75,4.96,86
