high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_m_on_trend,high_by_point_n_on_trend,low_by_point_m_on_trend,low_by_point_n_on_trend,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count
4,4,10,10,5,5,9,9,4.44,652.98,10.7,61
4,4,10,10,5,5,10,10,4.44,652.98,10.7,61
4,4,10,10,7,7,9,9,4.39,610.58,10.35,59
4,4,10,10,7,7,10,10,4.39,610.58,10.35,59
4,4,10,10,8,8,9,9,4.39,610.58,10.35,59
4,4,10,10,8,8,10,10,4.39,610.58,10.35,59
4,4,10,10,9,9,9,9,4.39,610.58,10.35,59
4,4,10,10,9,9,10,10,4.39,610.58,10.35,59
4,4,10,10,10,10,9,9,4.39,610.58,10.35,59
4,4,10,10,10,10,10,10,4.39,610.58,10.35,59
5,5,10,10,5,5,9,9,4.33,650.5,10.16,64
5,5,10,10,5,5,10,10,4.33,650.5,10.16,64
5,5,10,10,7,7,9,9,4.27,606,9.93,61
5,5,10,10,7,7,10,10,4.27,606,9.93,61
5,5,10,10,8,8,9,9,4.27,606,9.93,61
5,5,10,10,8,8,10,10,4.27,606,9.93,61
5,5,10,10,9,9,9,9,4.27,606,9.93,61
5,5,10,10,9,9,10,10,4.27,606,9.93,61
5,5,10,10,10,10,9,9,4.27,606,9.93,61
5,5,10,10,10,10,10,10,4.27,606,9.93,61
4,4,10,10,5,5,6,6,4.21,642.23,10.7,60
4,4,10,10,5,5,7,7,4.21,642.23,10.7,60
4,4,10,10,5,5,8,8,4.21,642.23,10.7,60
5,5,10,10,5,5,6,6,4.18,654.19,10.22,64
5,5,10,10,5,5,7,7,4.18,654.19,10.22,64
4,4,10,10,6,6,9,9,4.17,600.89,10.01,60
4,4,10,10,6,6,10,10,4.17,600.89,10.01,60
4,4,10,10,7,7,6,6,4.15,599.84,10.34,58
4,4,10,10,7,7,7,7,4.15,599.84,10.34,58
4,4,10,10,7,7,8,8,4.15,599.84,10.34,58
4,4,10,10,8,8,6,6,4.15,599.84,10.34,58
4,4,10,10,8,8,7,7,4.15,599.84,10.34,58
4,4,10,10,8,8,8,8,4.15,599.84,10.34,58
4,4,10,10,9,9,6,6,4.15,599.84,10.34,58
4,4,10,10,9,9,7,7,4.15,599.84,10.34,58
4,4,10,10,9,9,8,8,4.15,599.84,10.34,58
4,4,10,10,10,10,6,6,4.15,599.84,10.34,58
4,4,10,10,10,10,7,7,4.15,599.84,10.34,58
4,4,10,10,10,10,8,8,4.15,599.84,10.34,58
5,5,5,5,5,5,9,9,4.13,712.42,9.13,78
5,5,5,5,5,5,10,10,4.13,712.42,9.13,78
5,5,10,10,5,5,8,8,4.11,639.76,10.15,63
5,5,10,10,7,7,6,6,4.11,609.68,9.99,61
5,5,10,10,7,7,7,7,4.11,609.68,9.99,61
5,5,10,10,8,8,6,6,4.11,609.68,9.99,61
5,5,10,10,8,8,7,7,4.11,609.68,9.99,61
5,5,10,10,9,9,6,6,4.11,609.68,9.99,61
5,5,10,10,9,9,7,7,4.11,609.68,9.99,61
5,5,10,10,10,10,6,6,4.11,609.68,9.99,61
5,5,10,10,10,10,7,7,4.11,609.68,9.99,61
5,5,6,6,5,5,9,9,4.1,707.59,9.19,77
5,5,6,6,5,5,10,10,4.1,707.59,9.19,77
6,6,10,10,5,5,6,6,4.07,581.78,10.03,58
6,6,10,10,5,5,7,7,4.07,581.78,10.03,58
7,7,10,10,5,5,6,6,4.07,581.78,10.03,58
7,7,10,10,5,5,7,7,4.07,581.78,10.03,58
4,4,5,5,5,5,9,9,4.05,694.77,9.26,75
4,4,5,5,5,5,10,10,4.05,694.77,9.26,75
5,5,10,10,6,6,9,9,4.05,596.31,9.62,62
5,5,10,10,6,6,10,10,4.05,596.31,9.62,62
5,5,6,6,7,7,9,9,4.04,663.08,8.96,74
5,5,6,6,7,7,10,10,4.04,663.08,8.96,74
5,5,6,6,8,8,9,9,4.04,663.08,8.96,74
5,5,6,6,8,8,10,10,4.04,663.08,8.96,74
5,5,6,6,9,9,9,9,4.04,663.08,8.96,74
5,5,6,6,9,9,10,10,4.04,663.08,8.96,74
5,5,6,6,10,10,9,9,4.04,663.08,8.96,74
5,5,6,6,10,10,10,10,4.04,663.08,8.96,74
4,4,6,6,5,5,9,9,4.03,689.94,9.32,74
4,4,6,6,5,5,10,10,4.03,689.94,9.32,74
5,5,10,10,7,7,8,8,4.03,595.25,9.92,60
5,5,10,10,8,8,8,8,4.03,595.25,9.92,60
5,5,10,10,9,9,8,8,4.03,595.25,9.92,60
5,5,10,10,10,10,8,8,4.03,595.25,9.92,60
6,6,10,10,5,5,8,8,4.03,556.7,10.12,55
7,7,10,10,5,5,8,8,4.03,556.7,10.12,55
5,5,7,7,5,5,9,9,4.01,702.38,9.12,77
5,5,7,7,5,5,10,10,4.01,702.38,9.12,77
6,6,10,10,7,7,6,6,4,539.38,9.63,56
6,6,10,10,7,7,7,7,4,539.38,9.63,56
6,6,10,10,8,8,6,6,4,539.38,9.63,56
6,6,10,10,8,8,7,7,4,539.38,9.63,56
6,6,10,10,9,9,6,6,4,539.38,9.63,56
6,6,10,10,9,9,7,7,4,539.38,9.63,56
6,6,10,10,10,10,6,6,4,539.38,9.63,56
6,6,10,10,10,10,7,7,4,539.38,9.63,56
7,7,10,10,7,7,6,6,4,539.38,9.63,56
7,7,10,10,7,7,7,7,4,539.38,9.63,56
7,7,10,10,8,8,6,6,4,539.38,9.63,56
7,7,10,10,8,8,7,7,4,539.38,9.63,56
7,7,10,10,9,9,6,6,4,539.38,9.63,56
7,7,10,10,9,9,7,7,4,539.38,9.63,56
7,7,10,10,10,10,6,6,4,539.38,9.63,56
7,7,10,10,10,10,7,7,4,539.38,9.63,56
5,5,5,5,7,7,9,9,3.98,663.6,8.73,76
5,5,5,5,7,7,10,10,3.98,663.6,8.73,76
5,5,5,5,8,8,9,9,3.98,663.6,8.73,76
5,5,5,5,8,8,10,10,3.98,663.6,8.73,76
5,5,5,5,9,9,9,9,3.98,663.6,8.73,76
5,5,5,5,9,9,10,10,3.98,663.6,8.73,76
5,5,5,5,10,10,9,9,3.98,663.6,8.73,76
5,5,5,5,10,10,10,10,3.98,663.6,8.73,76
4,4,6,6,7,7,9,9,3.97,647.54,8.99,72
4,4,6,6,7,7,10,10,3.97,647.54,8.99,72
4,4,6,6,8,8,9,9,3.97,647.54,8.99,72
4,4,6,6,8,8,10,10,3.97,647.54,8.99,72
4,4,6,6,9,9,9,9,3.97,647.54,8.99,72
4,4,6,6,9,9,10,10,3.97,647.54,8.99,72
4,4,6,6,10,10,9,9,3.97,647.54,8.99,72
4,4,6,6,10,10,10,10,3.97,647.54,8.99,72
6,6,10,10,5,5,9,9,3.96,553.25,9.71,57
6,6,10,10,5,5,10,10,3.96,553.25,9.71,57
7,7,10,10,5,5,9,9,3.96,553.25,9.71,57
7,7,10,10,5,5,10,10,3.96,553.25,9.71,57
8,8,10,10,5,5,6,6,3.96,560.97,10.2,55
8,8,10,10,5,5,7,7,3.96,560.97,10.2,55
9,9,10,10,5,5,6,6,3.96,560.97,10.2,55
9,9,10,10,5,5,7,7,3.96,560.97,10.2,55
10,10,10,10,5,5,6,6,3.96,559.33,10.36,54
10,10,10,10,5,5,7,7,3.96,559.33,10.36,54
4,4,10,10,6,6,6,6,3.95,590.15,10,59
4,4,10,10,6,6,7,7,3.95,590.15,10,59
4,4,10,10,6,6,8,8,3.95,590.15,10,59
6,6,10,10,7,7,8,8,3.95,514.3,9.7,53
6,6,10,10,8,8,8,8,3.95,514.3,9.7,53
6,6,10,10,9,9,8,8,3.95,514.3,9.7,53
6,6,10,10,10,10,8,8,3.95,514.3,9.7,53
7,7,10,10,7,7,8,8,3.95,514.3,9.7,53
7,7,10,10,8,8,8,8,3.95,514.3,9.7,53
7,7,10,10,9,9,8,8,3.95,514.3,9.7,53
7,7,10,10,10,10,8,8,3.95,514.3,9.7,53
4,4,8,8,5,5,9,9,3.94,684.73,9.25,74
4,4,8,8,5,5,10,10,3.94,684.73,9.25,74
5,5,5,5,5,5,6,6,3.94,701.67,9.11,77
5,5,5,5,5,5,7,7,3.94,701.67,9.11,77
5,5,5,5,5,5,8,8,3.94,701.67,9.11,77
5,5,7,7,7,7,9,9,3.94,657.87,8.89,74
5,5,7,7,7,7,10,10,3.94,657.87,8.89,74
5,5,7,7,8,8,9,9,3.94,657.87,8.89,74
5,5,7,7,8,8,10,10,3.94,657.87,8.89,74
5,5,7,7,9,9,9,9,3.94,657.87,8.89,74
5,5,7,7,9,9,10,10,3.94,657.87,8.89,74
5,5,7,7,10,10,9,9,3.94,657.87,8.89,74
5,5,7,7,10,10,10,10,3.94,657.87,8.89,74
6,6,5,5,5,5,6,6,3.94,636.75,9.1,70
6,6,5,5,5,5,7,7,3.94,636.75,9.1,70
6,6,5,5,5,5,8,8,3.94,636.75,9.1,70
7,7,5,5,5,5,6,6,3.94,636.75,9.1,70
7,7,5,5,5,5,7,7,3.94,636.75,9.1,70
7,7,5,5,5,5,8,8,3.94,636.75,9.1,70
