high_by_point_m,high_by_point_n,low_by_point_m,low_by_point_n,high_by_point_m_on_trend,high_by_point_n_on_trend,low_by_point_m_on_trend,low_by_point_n_on_trend,mintick,max_mn_cap,high_score_scaling_factor,low_score_scaling_factor,debug_mode,on_trend_ratio,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%,Error
4,4,4,4,4,4,4,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpzshnsy08.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,4,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpcaipnvyq.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,4,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmplk5tqs21.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,5,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp9jiw29lu.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,5,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpg8pq6pzh.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,5,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpwvk3_fcq.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,6,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpylglpmno.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,6,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp046urw90.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,4,6,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpr1v9wgdi.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,4,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp8qbu__50.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,4,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpl42ayemv.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,4,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp43rcdx6w.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,5,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp5z_ryezw.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,5,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpxz6q9yhg.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,5,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpqnhvft0_.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,6,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp36nfoq_z.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,6,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp5c24iuhz.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,5,6,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp8ohrg7h8.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,4,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpyj7eg1lt.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,4,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpgwn19nrg.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,4,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpyleokmow.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,5,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpd967ce15.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,5,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpv45_4ao8.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,5,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpa88_j66s.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,6,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp7i82pvyp.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,6,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp1qcbhhfj.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,4,6,6,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp2z5g80vm.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,5,4,4,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmp66hz_zcg.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,5,4,4,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpuisgjwpd.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,5,4,4,6,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpx9y82ry1.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,5,4,5,4,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpqb4wt5j2.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
4,4,4,4,5,4,5,5,0.01,12,0.5,0.5,False,1,,,,,,,,"Script failed with return code 1. STDERR: Traceback (most recent call last):
  File ""/tmp/tmpjoe4p5fh.py"", line 3, in <module>
    import backtrader as bt
ModuleNotFoundError: No module named 'backtrader'
..."
