high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,4,4,4,4,4,1.1,0.01,FALSE,3.32,392.15,6.88,57,56.14,17.54,-6.77
4,4,4,4,4,4,4,4,1.3,0.01,FALSE,3.32,364.73,6.4,57,56.14,16.32,-6.29
4,4,4,4,4,4,4,7,1.1,0.01,FALSE,4.48,588.27,8.29,71,63.38,16.83,-6.5
4,4,4,4,4,4,4,7,1.3,0.01,FALSE,4.48,546.91,7.7,71,63.38,15.65,-6.05
4,4,4,4,4,4,4,14,1.1,0.01,FALSE,4.31,625.08,8.45,74,62.16,17.7,-6.75
4,4,4,4,4,4,4,14,1.3,0.01,FALSE,4.3,584.09,7.89,74,62.16,16.55,-6.33
4,4,4,4,4,4,7,4,1.1,0.01,FALSE,3.87,458.82,7.06,65,61.54,15.47,-6.4
4,4,4,4,4,4,7,4,1.3,0.01,FALSE,3.87,426.57,6.56,65,61.54,14.38,-5.95
4,4,4,4,4,4,7,7,1.1,0.01,FALSE,4.37,449.59,8.65,52,61.54,18.21,-6.66
4,4,4,4,4,4,7,7,1.3,0.01,FALSE,4.37,417.82,8.04,52,61.54,16.93,-6.19
4,4,4,4,4,4,7,14,1.1,0.01,FALSE,4.38,488.74,9.4,52,63.46,19.2,-7.62
4,4,4,4,4,4,7,14,1.3,0.01,FALSE,4.37,456.5,8.78,52,63.46,17.94,-7.12
4,4,4,4,4,4,14,4,1.1,0.01,FALSE,5.76,575.16,10.46,55,67.27,18.81,-6.71
4,4,4,4,4,4,14,4,1.3,0.01,FALSE,5.75,537.23,9.77,55,67.27,17.58,-6.29
4,4,4,4,4,4,14,7,1.1,0.01,FALSE,2.76,395.48,6.7,59,54.24,19.37,-8.31
