No.,Entry Time,First Exit Time,Second Exit Time,Weighted PnL%,Combined Score,Signal Type,Static High Used,Static Low Used,"High (m,n)","Low (m,n)"
1,2023-11-14 11:00:00,2023-11-15 11:00:00,2024-03-13 11:00:00,47.382,0.1483,Trending,False,True,"(7.00, 7.00)","(4.00, 4.00)"
2,2024-01-19 11:00:00,2024-01-22 11:00:00,,-7.2429,0.2215,Normal,True,False,"(4.00, 4.00)","(10.00, 10.00)"
3,2024-01-26 11:00:00,2024-01-29 11:00:00,2024-05-25 10:00:00,38.1046,0.2215,Normal,True,False,"(4.00, 4.00)","(10.00, 10.00)"
4,2024-04-13 10:00:00,2024-04-15 10:00:00,2024-05-01 10:00:00,4.3099,0.3376,Trending,True,False,"(4.00, 4.00)","(14.00, 14.00)"
5,2024-04-14 10:00:00,2024-05-01 10:00:00,,-15.4614,0.1957,Trending,True,False,"(4.00, 4.00)","(9.00, 9.00)"
6,2024-04-18 10:00:00,2024-04-22 10:00:00,2024-05-01 10:00:00,-6.7509,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
7,2024-04-20 10:00:00,2024-05-01 10:00:00,,-14.0879,0.1957,Normal,True,False,"(4.00, 4.00)","(9.00, 9.00)"
8,2024-05-03 10:00:00,2024-05-06 10:00:00,2024-07-05 10:00:00,7.1648,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
9,2024-05-09 10:00:00,2024-05-15 10:00:00,2024-06-24 10:00:00,7.0185,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
10,2024-05-13 10:00:00,2024-05-15 10:00:00,2024-06-24 10:00:00,7.0999,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
11,2024-06-25 10:00:00,2024-07-04 10:00:00,,-12.89,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
12,2024-06-30 10:00:00,2024-07-03 10:00:00,,-6.8407,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
13,2024-07-06 10:00:00,2024-07-14 10:00:00,2024-11-03 11:00:00,21.2568,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
14,2024-07-09 10:00:00,2024-07-14 10:00:00,2024-08-05 10:00:00,11.5092,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
15,2024-07-13 10:00:00,2024-07-15 10:00:00,2024-08-05 10:00:00,10.5295,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
16,2024-08-05 10:00:00,2024-08-06 10:00:00,2024-12-03 11:00:00,61.6198,0.5447,Normal,True,False,"(4.00, 4.00)","(30.00, 30.00)"
17,2024-08-16 10:00:00,2024-08-21 10:00:00,2024-09-06 10:00:00,7.345,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
18,2024-09-02 10:00:00,2024-09-05 10:00:00,,-10.4314,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
19,2024-09-08 10:00:00,2024-09-09 10:00:00,2025-01-06 11:00:00,70.9679,0.5447,Normal,True,False,"(4.00, 4.00)","(30.00, 30.00)"
20,2024-09-09 10:00:00,2024-09-13 10:00:00,2025-01-07 11:00:00,65.7505,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
21,2024-09-12 10:00:00,2024-09-17 10:00:00,2025-01-10 11:00:00,63.174,0.5447,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
22,2024-10-24 11:00:00,2024-10-29 11:00:00,2025-02-21 11:00:00,42.3526,0.4859,Trending,False,True,"(18.40, 18.40)","(4.00, 4.00)"
23,2024-10-27 11:00:00,2024-10-29 11:00:00,2025-02-24 11:00:00,42.6267,0.4859,Trending,False,True,"(18.40, 18.40)","(4.00, 4.00)"
24,2024-12-05 11:00:00,2024-12-06 11:00:00,2025-02-25 11:00:00,4.83,0.1269,Trending,True,False,"(4.00, 4.00)","(6.00, 6.00)"
25,2024-12-11 11:00:00,2024-12-15 11:00:00,2024-12-29 11:00:00,4.1417,0.2771,Trending,False,True,"(12.00, 12.00)","(4.00, 4.00)"
26,2024-12-15 11:00:00,2024-12-18 11:00:00,,-6.3379,0.2771,Trending,False,True,"(12.00, 12.00)","(4.00, 4.00)"
27,2025-01-01 11:00:00,2025-01-03 11:00:00,2025-02-24 11:00:00,6.5443,0.2349,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
28,2025-01-10 11:00:00,2025-01-15 11:00:00,2025-02-25 11:00:00,6.506,0.2349,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
29,2025-01-13 11:00:00,2025-01-15 11:00:00,2025-02-25 11:00:00,6.5743,0.2349,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
30,2025-01-30 11:00:00,2025-02-01 11:00:00,,-5.4302,0.1957,Trending,False,True,"(9.00, 9.00)","(4.00, 4.00)"
31,2025-04-07 10:00:00,2025-04-09 10:00:00,2025-08-05 08:00:00,41.3577,0.5447,Normal,True,False,"(4.00, 4.00)","(26.00, 26.00)"
32,2025-04-25 10:00:00,2025-05-08 10:00:00,2025-08-23 08:00:00,16.3946,0.1957,Normal,True,False,"(4.00, 4.00)","(9.00, 9.00)"
33,2025-05-01 10:00:00,2025-05-08 10:00:00,2025-08-29 08:00:00,15.2244,0.1957,Normal,True,False,"(4.00, 4.00)","(9.00, 9.00)"
34,2025-06-23 08:00:00,2025-07-02 08:00:00,2025-10-21 08:00:00,12.0426,0.2771,Normal,True,False,"(4.00, 4.00)","(12.00, 12.00)"
35,2025-08-04 08:00:00,2025-08-10 08:00:00,2025-08-25 08:00:00,4.7673,0.3892,Trending,True,False,"(4.00, 4.00)","(15.60, 15.60)"
36,2025-08-07 08:00:00,2025-08-11 08:00:00,2025-08-19 08:00:00,3.9764,0.3892,Trending,True,False,"(4.00, 4.00)","(15.60, 15.60)"
37,2025-08-22 08:00:00,2025-08-25 08:00:00,,-10.3777,0.3892,Normal,True,False,"(4.00, 4.00)","(15.60, 15.60)"
38,2025-08-23 08:00:00,2025-08-25 08:00:00,,-5.7846,0.1269,Normal,True,False,"(4.00, 4.00)","(6.00, 6.00)"
