No.,Entry Time,First Exit Time,Second Exit Time,Weighted PnL%,Combined Score,Signal Type,Static High Used,Static Low Used,"High (m,n)","Low (m,n)"
1,2023-10-06 11:00:00,2023-10-11 11:00:00,,-11.3376,1.0,Normal,False,True,"(11.00, 11.00)","(4.00, 4.00)"
2,2023-11-14 11:00:00,2023-11-15 11:00:00,2024-03-13 11:00:00,109.6379,1.0,Trending,False,True,"(7.00, 7.00)","(4.00, 4.00)"
3,2023-11-16 11:00:00,2023-11-19 11:00:00,2024-03-15 11:00:00,106.5398,1.0,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
4,2023-11-22 11:00:00,2023-11-24 11:00:00,2024-03-21 11:00:00,99.7915,1.0,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
5,2024-01-03 11:00:00,2024-01-04 11:00:00,2024-01-22 11:00:00,11.2815,1.0,Trending,True,False,"(4.00, 4.00)","(5.00, 5.00)"
6,2024-01-11 11:00:00,2024-01-12 11:00:00,,-23.0243,1.0,Trending,False,True,"(5.00, 5.00)","(4.00, 4.00)"
7,2024-01-19 11:00:00,2024-01-22 11:00:00,,-15.058,1.0,Normal,True,False,"(4.00, 4.00)","(4.60, 4.60)"
8,2024-01-26 11:00:00,2024-01-29 11:00:00,2024-05-25 10:00:00,79.2198,1.0,Normal,True,False,"(4.00, 4.00)","(4.60, 4.60)"
9,2024-03-17 11:00:00,2024-03-19 11:00:00,,-28.3188,1.0,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
10,2024-03-21 11:00:00,2024-03-25 11:00:00,2024-04-30 10:00:00,10.3538,1.0,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
11,2024-03-24 11:00:00,2024-03-25 11:00:00,2024-04-17 10:00:00,8.6585,1.0,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
12,2024-04-04 11:00:00,2024-04-08 10:00:00,2024-04-13 10:00:00,7.5673,1.0,Trending,False,True,"(4.00, 4.00)","(4.00, 4.00)"
13,2024-04-13 10:00:00,2024-04-15 10:00:00,2024-05-01 10:00:00,7.7188,1.0,Trending,True,False,"(4.00, 4.00)","(14.00, 14.00)"
14,2024-04-14 10:00:00,2024-05-01 10:00:00,,-33.3384,1.0,Trending,True,False,"(4.00, 4.00)","(9.00, 9.00)"
15,2024-04-17 10:00:00,2024-04-18 10:00:00,2024-05-01 10:00:00,9.8396,1.0,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
16,2024-04-20 10:00:00,2024-05-01 10:00:00,,-30.3768,1.0,Normal,True,False,"(4.00, 4.00)","(9.00, 9.00)"
17,2024-05-03 10:00:00,2024-05-06 10:00:00,2024-07-05 10:00:00,12.8317,1.0,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
18,2024-05-13 10:00:00,2024-05-15 10:00:00,2024-06-24 10:00:00,12.7155,1.0,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
19,2024-06-24 10:00:00,2024-06-30 10:00:00,2024-07-04 10:00:00,-6.723,1.0,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
20,2024-06-30 10:00:00,2024-07-03 10:00:00,,-12.2511,1.0,Normal,True,False,"(4.00, 4.00)","(10.50, 10.50)"
21,2024-07-06 10:00:00,2024-07-14 10:00:00,2024-11-03 11:00:00,30.5203,1.0,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
22,2024-07-09 10:00:00,2024-07-14 10:00:00,2024-08-05 10:00:00,16.5248,1.0,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
23,2024-07-13 10:00:00,2024-07-15 10:00:00,2024-08-05 10:00:00,15.1182,1.0,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
24,2024-08-05 10:00:00,2024-08-06 10:00:00,2024-12-03 11:00:00,88.4731,1.0,Normal,True,False,"(4.00, 4.00)","(17.33, 17.33)"
25,2024-08-16 10:00:00,2024-08-21 10:00:00,2024-09-06 10:00:00,10.5458,1.0,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
26,2024-09-02 10:00:00,2024-09-05 10:00:00,,-14.9773,1.0,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
27,2024-09-07 10:00:00,2024-09-09 10:00:00,2025-01-05 11:00:00,104.4804,1.0,Normal,True,False,"(4.00, 4.00)","(17.33, 17.33)"
28,2024-09-09 10:00:00,2024-09-13 10:00:00,2025-01-07 11:00:00,94.4039,1.0,Normal,True,False,"(4.00, 4.00)","(40.00, 40.00)"
29,2024-10-24 11:00:00,2024-10-29 11:00:00,2025-02-21 11:00:00,64.4349,1.0,Trending,False,True,"(18.40, 18.40)","(4.00, 4.00)"
