high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%,Scale
4,4,4,4,4,4,4,4,1.1,0.01,False,3.32,392.15,6.88,57,56.14,17.54,-6.77,1.341
4,4,4,4,4,4,4,4,1.3,0.01,False,3.32,364.73,6.4,57,56.14,16.32,-6.29,1.247
4,4,4,4,4,4,4,4,1.5,0.01,False,3.32,344.86,6.05,57,56.14,15.43,-5.95,1.179
4,4,4,4,4,4,4,4,2,0.01,False,3.32,315.94,5.54,57,56.14,14.13,-5.45,1.08
4,4,4,4,4,4,4,14,1.1,0.01,False,4.31,625.08,8.45,74,62.16,17.7,-6.75,1.341
4,4,4,4,4,4,4,14,1.3,0.01,False,4.3,584.09,7.89,74,62.16,16.55,-6.33,1.247
4,4,4,4,4,4,4,14,1.5,0.01,False,4.29,553.66,7.48,74,62.16,15.69,-6.01,1.179
4,4,4,4,4,4,4,14,2,0.01,False,4.29,506.87,6.85,74,62.16,14.37,-5.5,1.08
4,4,4,4,4,4,14,4,1.1,0.01,False,5.76,575.16,10.46,55,67.27,18.81,-6.71,1.341
4,4,4,4,4,4,14,4,1.3,0.01,False,5.75,537.23,9.77,55,67.27,17.58,-6.29,1.247
4,4,4,4,4,4,14,4,1.5,0.01,False,5.74,509.12,9.26,55,67.27,16.66,-5.97,1.179
4,4,4,4,4,4,14,4,2,0.01,False,5.74,466.13,8.48,55,67.27,15.25,-5.46,1.08
4,4,4,4,4,4,14,14,1.1,0.01,False,5.17,504.33,11.21,45,64.44,21.56,-7.56,1.341
4,4,4,4,4,4,14,14,1.3,0.01,False,5.16,473.43,10.52,45,64.44,20.25,-7.12,1.247
4,4,4,4,4,4,14,14,1.5,0.01,False,5.15,449.86,10.0,45,64.44,19.25,-6.77,1.179
4,4,4,4,4,4,14,14,2,0.01,False,5.15,411.57,9.15,45,64.44,17.61,-6.19,1.08
4,4,4,4,4,14,4,4,1.1,0.01,False,3.3,441.93,8.18,54,51.85,22.64,-7.39,1.341
4,4,4,4,4,14,4,4,1.3,0.01,False,3.3,412.69,7.64,54,51.85,21.15,-6.91,1.247
4,4,4,4,4,14,4,4,1.5,0.01,False,3.3,391.05,7.24,54,51.85,20.04,-6.55,1.179
4,4,4,4,4,14,4,4,2,0.01,False,3.3,358.03,6.63,54,51.85,18.35,-5.99,1.08
4,4,4,4,4,14,4,14,1.1,0.01,False,3.07,519.8,7.53,69,57.97,19.26,-8.65,1.341
4,4,4,4,4,14,4,14,1.3,0.01,False,3.06,486.68,7.05,69,57.97,18.07,-8.15,1.247
4,4,4,4,4,14,4,14,1.5,0.01,False,3.05,461.81,6.69,69,57.97,17.17,-7.76,1.179
4,4,4,4,4,14,4,14,2,0.01,False,3.05,422.66,6.13,69,57.97,15.71,-7.09,1.08
