high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,4,4,4,4,4,1,0.01,False,3.32,292.53,5.13,57,56.14,13.09,-5.05
4,4,4,4,4,4,4,4,1.1,0.01,False,3.32,292.53,5.13,57,56.14,13.09,-5.05
4,4,4,4,4,4,4,4,1.2,0.01,False,3.32,292.53,5.13,57,56.14,13.09,-5.05
4,4,4,4,4,4,4,4,1.3,0.01,False,3.32,292.53,5.13,57,56.14,13.09,-5.05
4,4,4,4,4,4,4,10,1,0.01,False,4.92,391.25,6.52,60,63.33,12.92,-4.54
4,4,4,4,4,4,4,10,1.1,0.01,False,4.92,391.25,6.52,60,63.33,12.92,-4.54
4,4,4,4,4,4,4,10,1.2,0.01,False,4.92,391.25,6.52,60,63.33,12.92,-4.54
4,4,4,4,4,4,4,10,1.3,0.01,False,4.92,391.25,6.52,60,63.33,12.92,-4.54
4,4,4,4,4,4,10,4,1,0.01,False,3.9,359.47,5.62,64,59.38,12.72,-4.76
4,4,4,4,4,4,10,4,1.1,0.01,False,3.9,359.47,5.62,64,59.38,12.72,-4.76
4,4,4,4,4,4,10,4,1.2,0.01,False,3.9,359.47,5.62,64,59.38,12.72,-4.76
4,4,4,4,4,4,10,4,1.3,0.01,False,3.9,359.47,5.62,64,59.38,12.72,-4.76
4,4,4,4,4,4,10,10,1,0.01,False,5.34,330.18,7.34,45,64.44,14.01,-4.76
4,4,4,4,4,4,10,10,1.1,0.01,False,5.34,330.18,7.34,45,64.44,14.01,-4.76
4,4,4,4,4,4,10,10,1.2,0.01,False,5.34,330.18,7.34,45,64.44,14.01,-4.76
4,4,4,4,4,4,10,10,1.3,0.01,False,5.34,330.18,7.34,45,64.44,14.01,-4.76
4,4,4,4,4,10,4,4,1,0.01,False,2.97,261.48,5.13,51,49.02,15.77,-5.1
4,4,4,4,4,10,4,4,1.1,0.01,False,2.97,261.48,5.13,51,49.02,15.77,-5.1
4,4,4,4,4,10,4,4,1.2,0.01,False,2.97,261.48,5.13,51,49.02,15.77,-5.1
4,4,4,4,4,10,4,4,1.3,0.01,False,2.97,261.48,5.13,51,49.02,15.77,-5.1
4,4,4,4,4,10,4,10,1,0.01,False,4.09,331.94,5.82,57,59.65,12.92,-4.67
4,4,4,4,4,10,4,10,1.1,0.01,False,4.09,331.94,5.82,57,59.65,12.92,-4.67
4,4,4,4,4,10,4,10,1.2,0.01,False,4.09,331.94,5.82,57,59.65,12.92,-4.67
4,4,4,4,4,10,4,10,1.3,0.01,False,4.09,331.94,5.82,57,59.65,12.92,-4.67
4,4,4,4,4,10,10,4,1,0.01,False,3.55,319.19,5.32,60,56.67,13.07,-4.82
4,4,4,4,4,10,10,4,1.1,0.01,False,3.55,319.19,5.32,60,56.67,13.07,-4.82
4,4,4,4,4,10,10,4,1.2,0.01,False,3.55,319.19,5.32,60,56.67,13.07,-4.82
4,4,4,4,4,10,10,4,1.3,0.01,False,3.55,319.19,5.32,60,56.67,13.07,-4.82
4,4,4,4,4,10,10,10,1,0.01,False,4.3,272.43,7.17,38,55.26,16.9,-4.86
4,4,4,4,4,10,10,10,1.1,0.01,False,4.3,272.43,7.17,38,55.26,16.9,-4.86
4,4,4,4,4,10,10,10,1.2,0.01,False,4.3,272.43,7.17,38,55.26,16.9,-4.86
4,4,4,4,4,10,10,10,1.3,0.01,False,4.3,272.43,7.17,38,55.26,16.9,-4.86
4,4,4,4,10,4,4,4,1,0.01,False,4.91,416.18,6.94,60,65.0,13.4,-5.07
4,4,4,4,10,4,4,4,1.1,0.01,False,4.91,416.18,6.94,60,65.0,13.4,-5.07
4,4,4,4,10,4,4,4,1.2,0.01,False,4.91,416.18,6.94,60,65.0,13.4,-5.07
4,4,4,4,10,4,4,4,1.3,0.01,False,4.91,416.18,6.94,60,65.0,13.4,-5.07
4,4,4,4,10,4,4,10,1,0.01,False,5.63,449.36,7.02,64,68.75,12.42,-4.85
4,4,4,4,10,4,4,10,1.1,0.01,False,5.63,449.36,7.02,64,68.75,12.42,-4.85
