mn_start_normal,mn_cap_normal,mn_start_trend,mn_cap_trend,enable_scoring,only_body_cross,close_above_hl_threshold,trap_recover_window_threshold,stop_loss_pt,first_gain_ca_multiplier,Total Pnl%,Fit Score,Trade Count,Scale,Sharpe Ratio
10,40,4,20,TRUE,,,,,,541.74,4.29,66,1.497,
15,20,6,20,TRUE,TRUE,0.25,6,1,2,456.85,4.27,47,1.297,-0.025
10,40,4,30,TRUE,,,,,,533.52,4.23,64,1.497,
10,40,5,20,TRUE,,,,,,543.47,4.23,60,1.497,
10,30,5,20,TRUE,,,,,,544.44,4.15,62,1.497,
10,40,5,30,TRUE,,,,,,541.06,4.13,60,1.497,
10,40,4,40,TRUE,,,,,,539.09,4.12,66,1.497,
20,20,6,20,TRUE,TRUE,0.25,6,1,2,432.69,4.09,45,1.297,-0.078
10,40,4,20,FALSE,,,,,,1008.71,4.09,66,3,
10,40,4,40,FALSE,,,,,,1008.71,4.09,66,3,
10,20,5,20,TRUE,,,,,,518.25,4.09,62,1.497,
12,40,4,20,TRUE,,,,,,539.31,4.06,68,1.297,
10,30,5,30,TRUE,,,,,,542.21,4.05,62,1.497,
10,40,5,40,TRUE,,,,,,539.88,4.05,60,1.497,
10,30,4,20,TRUE,,,,,,533.03,4.04,67,1.497,
10,40,4,30,FALSE,,,,,,992.07,4.04,64,3,
10,40,5,20,FALSE,,,,,,981.96,4.04,60,3,
10,40,5,30,FALSE,,,,,,981.96,4.04,60,3,
10,40,5,40,FALSE,,,,,,981.96,4.04,60,3,
12,40,5,20,TRUE,,,,,,541.05,4.02,62,1.297,
10,20,5,30,TRUE,,,,,,516.78,4.01,62,1.497,
12,40,4,30,TRUE,,,,,,531.1,4.01,66,1.297,
10,20,4,20,TRUE,,,,,,512.46,4,67,1.497,
10,20,5,20,FALSE,,,,,,984.28,4,62,3,
10,20,5,30,FALSE,,,,,,984.28,4,62,3,
10,20,5,40,FALSE,,,,,,984.28,4,62,3,
10,30,5,20,FALSE,,,,,,984.28,4,62,3,
10,30,5,30,FALSE,,,,,,984.28,4,62,3,
10,30,5,40,FALSE,,,,,,984.28,4,62,3,
15,20,6,20,FALSE,TRUE,0.25,6,1,2,750.55,3.99,47,3,0.346
