mn_start_normal,mn_cap_normal,mn_start_trend,mn_cap_trend,enable_scoring,only_body_cross,close_above_hl_threshold,close_above_low_threshold,close_above_recover_low_threshold,low_above_hl_threshold,hl_extend_bar_cross_threshold,close_above_hl_search_range,close_above_hl_bar_count,trap_recover_window_threshold,signal_window,stop_loss_pt,first_gain_ca_multiplier,Total Pnl%,Fit Score,Trade Count,Scale,Sharpe Ratio
10,40,5,20,TRUE,TRUE,0.25,1.5,1.5,0.5,6,7,3,5,2,1,2,665.89,5.7,61,1.497,0.298
10,40,4,30,TRUE,TRUE,0.25,1.5,1,0.5,6,7,3,5,2,1,2,661.21,5.61,67,1.497,0.3
10,40,5,30,TRUE,TRUE,0.25,1.5,1.5,0.5,6,7,3,5,2,1,2,665.34,5.6,61,1.497,0.297
10,40,5,20,TRUE,TRUE,0.25,1.5,1,0.5,6,7,3,5,2,1,2,668.56,5.58,63,1.497,0.296
10,40,5,20,TRUE,TRUE,0.25,1.5,1.25,0.5,6,7,3,5,2,1,2,663.02,5.53,62,1.497,0.291
10,40,5,30,TRUE,TRUE,0.25,1.5,1,0.5,6,7,3,5,2,1,2,667.16,5.46,63,1.497,0.294
10,40,5,20,TRUE,TRUE,0.25,1.5,1.5,0.5,6,5,3,5,2,1,2,570.63,5.44,54,1.497,0.176
10,40,5,30,TRUE,TRUE,0.25,1.5,1.25,0.5,6,7,3,5,2,1,2,662.22,5.43,62,1.497,0.289
10,40,4,20,TRUE,TRUE,0.25,1.5,1,0.5,6,7,3,5,2,1,2,659.07,5.41,69,1.497,0.297
10,40,5,20,FALSE,TRUE,0.25,1.5,1.5,0.5,6,7,3,5,2,1,2,1203.61,5.37,61,3,0.635
10,40,5,30,FALSE,TRUE,0.25,1.5,1.5,0.5,6,7,3,5,2,1,2,1203.61,5.37,61,3,0.635
15,40,5,20,TRUE,TRUE,0.25,1.5,1.5,0.5,6,7,3,5,2,1,2,659.51,5.36,60,1.297,0.285
10,30,5,20,TRUE,TRUE,0.25,1.5,1.5,0.5,6,7,3,5,2,1,2,658.77,5.35,62,1.497,0.287
10,40,4,30,TRUE,TRUE,0.25,1.5,1.5,0.5,6,7,3,5,2,1,2,644.4,5.33,66,1.497,0.278
10,40,5,30,TRUE,TRUE,0.25,1.5,1.5,0.5,6,5,3,5,2,1,2,569.47,5.33,54,1.497,0.174
10,40,5,20,TRUE,TRUE,0.25,1.5,1,0.5,6,5,3,5,2,1,2,573.3,5.32,56,1.497,0.176
10,40,5,20,TRUE,TRUE,0.25,1.5,1.5,0.5,6,4,3,5,2,1,2,563.8,5.29,53,1.497,0.162
